ホール名,日付,台番号,機種名,差枚数,ゲーム数,出率
マルハン蒲田駅東店,2025/05/08,2172,スマスロモンキーターンV,17800,10248,157.9%
マルハン蒲田駅東店,2025/05/08,2042,Lパチスロからくりサーカス,15400,5061,201.4%
マルハン蒲田駅東店,2025/05/08,2036,Lパチスロからくりサーカス,11300,5577,167.5%
マルハン蒲田駅東店,2025/05/08,2147,スマスロモンキーターンV,9700,8834,136.6%
マルハン蒲田駅東店,2025/05/08,2150,スマスロモンキーターンV,8100,6562,141.1%
マルハン蒲田駅東店,2025/05/08,2178,L ToLOVEるダークネス,8000,4288,162.2%
マルハン蒲田駅東店,2025/05/08,2035,Lパチスロからくりサーカス,7600,4703,153.9%
マルハン蒲田駅東店,2025/05/08,2264,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,7400,7065,134.9%
マルハン蒲田駅東店,2025/05/08,2261,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,7000,7383,131.6%
マルハン蒲田駅東店,2025/05/08,2081,Lパチスロ かぐや様は告らせたい,6700,5437,141.1%
マルハン蒲田駅東店,2025/05/08,2321,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,6600,7757,128.4%
マルハン蒲田駅東店,2025/05/08,2171,スマスロモンキーターンV,6500,8721,124.8%
マルハン蒲田駅東店,2025/05/08,2063,Lスマスロ北斗の拳,6100,3622,156.1%
マルハン蒲田駅東店,2025/05/08,2025,Lパチスロからくりサーカス,5800,3731,151.8%
マルハン蒲田駅東店,2025/05/08,2118,スーパービンゴネオ,5600,939,298.8%
マルハン蒲田駅東店,2025/05/08,2085,Lパチスロ かぐや様は告らせたい,5400,2756,165.3%
マルハン蒲田駅東店,2025/05/08,2361,パチスロ炎炎ノ消防隊,5200,6191,128%
マルハン蒲田駅東店,2025/05/08,2340,Lパチスロ 機動戦士ガンダムSEED,5100,5897,128.8%
マルハン蒲田駅東店,2025/05/08,2090,Lパチスロ かぐや様は告らせたい,5000,7353,122.7%
マルハン蒲田駅東店,2025/05/08,2332,Lパチスロ 機動戦士ガンダムSEED,5000,5402,130.9%
マルハン蒲田駅東店,2025/05/08,2007,スマスロ モンスターハンターライズ,4900,4339,137.6%
マルハン蒲田駅東店,2025/05/08,2378,吉宗,4800,6714,123.8%
マルハン蒲田駅東店,2025/05/08,2220,L東京喰種,4800,6330,125.3%
マルハン蒲田駅東店,2025/05/08,2179,L ToLOVEるダークネス,4500,2472,160.7%
マルハン蒲田駅東店,2025/05/08,2055,スマスロ スーパーブラックジャック,3700,4280,128.8%
マルハン蒲田駅東店,2025/05/08,2260,チバリヨ2プラス,3700,3899,131.6%
マルハン蒲田駅東店,2025/05/08,2105,Lスマスロ北斗の拳,3500,1304,189.5%
マルハン蒲田駅東店,2025/05/08,2258,チバリヨ2プラス,3500,3909,129.8%
マルハン蒲田駅東店,2025/05/08,2358,Lルパン三世 大航海者の秘宝,3500,6088,119.2%
マルハン蒲田駅東店,2025/05/08,2308,ゴーゴージャグラー３,3200,8926,112%
マルハン蒲田駅東店,2025/05/08,2138,マイジャグラーV,3200,6107,117.5%
マルハン蒲田駅東店,2025/05/08,2163,スマスロモンキーターンV,3100,6676,115.5%
マルハン蒲田駅東店,2025/05/08,2098,Lパチスロ かぐや様は告らせたい,3100,5250,119.7%
マルハン蒲田駅東店,2025/05/08,2317,キングハナハナ-30,3100,7149,114.5%
マルハン蒲田駅東店,2025/05/08,2204,L戦国乙女４　戦乱に閃く炯眼の軍師,3000,1766,156.6%
マルハン蒲田駅東店,2025/05/08,2320,キングハナハナ-30,3000,8833,111.3%
マルハン蒲田駅東店,2025/05/08,2023,Lパチスロからくりサーカス,2900,4980,119.4%
マルハン蒲田駅東店,2025/05/08,2366,パチスロ　甲鉄城のカバネリ,2800,845,210.5%
マルハン蒲田駅東店,2025/05/08,2272,沖ドキ！BLACK,2800,4971,118.8%
マルハン蒲田駅東店,2025/05/08,2239,ミスタージャグラー,2800,8729,110.7%
マルハン蒲田駅東店,2025/05/08,2265,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,2800,7736,112.1%
マルハン蒲田駅東店,2025/05/08,2170,スマスロモンキーターンV,2700,8943,110.1%
マルハン蒲田駅東店,2025/05/08,2255,SアイムジャグラーＥＸ,2700,7469,112%
マルハン蒲田駅東店,2025/05/08,2047,スマスロ ゴッドイーター リザレクション,2700,5199,117.3%
マルハン蒲田駅東店,2025/05/08,2092,Lパチスロ かぐや様は告らせたい,2600,4119,121%
マルハン蒲田駅東店,2025/05/08,2159,ジャグラーガールズSS,2600,6889,112.6%
マルハン蒲田駅東店,2025/05/08,2125,マイジャグラーV,2600,6599,113.1%
マルハン蒲田駅東店,2025/05/08,2195,ファンキージャグラー２ＫＴ,2500,7519,111.1%
マルハン蒲田駅東店,2025/05/08,2205,L戦国乙女４　戦乱に閃く炯眼の軍師,2300,2578,129.7%
マルハン蒲田駅東店,2025/05/08,2254,SアイムジャグラーＥＸ,2300,5849,113.1%
マルハン蒲田駅東店,2025/05/08,2041,Lパチスロからくりサーカス,2300,1856,141.3%
マルハン蒲田駅東店,2025/05/08,2029,Lパチスロからくりサーカス,2000,6315,110.6%
マルハン蒲田駅東店,2025/05/08,2217,L東京喰種,1900,5704,111.1%
マルハン蒲田駅東店,2025/05/08,2367,パチスロ　甲鉄城のカバネリ,1900,1833,134.6%
マルハン蒲田駅東店,2025/05/08,2034,Lパチスロからくりサーカス,1900,4437,114.3%
マルハン蒲田駅東店,2025/05/08,2022,Lパチスロからくりサーカス,1800,2709,122.1%
マルハン蒲田駅東店,2025/05/08,2057,スマスロ スーパーブラックジャック,1700,1409,140.2%
マルハン蒲田駅東店,2025/05/08,2050,スマスロ スーパーブラックジャック,1700,2582,121.9%
マルハン蒲田駅東店,2025/05/08,2183,L戦国乙女４　戦乱に閃く炯眼の軍師,1600,2735,119.5%
マルハン蒲田駅東店,2025/05/08,2187,ファンキージャグラー２ＫＴ,1500,8384,106%
マルハン蒲田駅東店,2025/05/08,2101,Lスマスロ北斗の拳,1500,2679,118.7%
マルハン蒲田駅東店,2025/05/08,2339,Lパチスロ 機動戦士ガンダムSEED,1500,4801,110.4%
マルハン蒲田駅東店,2025/05/08,2094,Lパチスロ かぐや様は告らせたい,1500,4384,111.4%
マルハン蒲田駅東店,2025/05/08,2225,ハッピージャグラーＶＩＩＩ,1500,5460,109.2%
マルハン蒲田駅東店,2025/05/08,2219,L東京喰種,1400,7605,106.1%
マルハン蒲田駅東店,2025/05/08,2315,キングハナハナ-30,1400,4935,109.5%
マルハン蒲田駅東店,2025/05/08,2155,ジャグラーガールズSS,1400,4030,111.6%
マルハン蒲田駅東店,2025/05/08,2276,SアイムジャグラーＥＸ,1400,4755,109.8%
マルハン蒲田駅東店,2025/05/08,2130,マイジャグラーV,1400,6476,107.2%
マルハン蒲田駅東店,2025/05/08,2128,マイジャグラーV,1400,4952,109.4%
マルハン蒲田駅東店,2025/05/08,2149,スマスロモンキーターンV,1300,4234,110.2%
マルハン蒲田駅東店,2025/05/08,2327,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,1300,3353,112.9%
マルハン蒲田駅東店,2025/05/08,2237,ミスタージャグラー,1300,7117,106.1%
マルハン蒲田駅東店,2025/05/08,2059,スマスロ スーパーブラックジャック,1200,2421,116.5%
マルハン蒲田駅東店,2025/05/08,2297,ゴーゴージャグラー３,1200,8896,104.5%
マルハン蒲田駅東店,2025/05/08,2186,L戦国乙女４　戦乱に閃く炯眼の軍師,1200,2754,114.5%
マルハン蒲田駅東店,2025/05/08,2330,スマスロ 七つの魔剣が支配する,1200,2684,114.9%
マルハン蒲田駅東店,2025/05/08,2328,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,1200,2263,117.7%
マルハン蒲田駅東店,2025/05/08,2376,吉宗,1100,7643,104.8%
マルハン蒲田駅東店,2025/05/08,2004,スマスロ モンスターハンターライズ,1100,3507,110.5%
マルハン蒲田駅東店,2025/05/08,2240,ウルトラミラクルジャグラー,1100,6138,106%
マルハン蒲田駅東店,2025/05/08,2248,SアイムジャグラーＥＸ,1100,6120,106%
マルハン蒲田駅東店,2025/05/08,2269,沖ドキ！BLACK,1100,3316,111.1%
マルハン蒲田駅東店,2025/05/08,2362,パチスロ炎炎ノ消防隊,1100,2218,116.5%
マルハン蒲田駅東店,2025/05/08,2236,ミスタージャグラー,1000,8042,104.1%
マルハン蒲田駅東店,2025/05/08,2342,L少女☆歌劇 レヴュースタァライト -The SLOT-,1000,1996,116.7%
マルハン蒲田駅東店,2025/05/08,2311,キングハナハナ-30,1000,7287,104.6%
マルハン蒲田駅東店,2025/05/08,2247,SアイムジャグラーＥＸ,1000,6933,104.8%
マルハン蒲田駅東店,2025/05/08,2347,スマスロ バイオハザード5,1000,2496,113.4%
マルハン蒲田駅東店,2025/05/08,2377,吉宗,1000,6579,105.1%
マルハン蒲田駅東店,2025/05/08,2234,ハッピージャグラーＶＩＩＩ,1000,5595,106%
マルハン蒲田駅東店,2025/05/08,2238,ミスタージャグラー,1000,6283,105.3%
マルハン蒲田駅東店,2025/05/08,2016,スマスロ ゴッドイーター リザレクション,900,2721,111%
マルハン蒲田駅東店,2025/05/08,2284,SアイムジャグラーＥＸ,900,3993,107.5%
マルハン蒲田駅東店,2025/05/08,2309,ゴーゴージャグラー３,900,6075,104.9%
マルハン蒲田駅東店,2025/05/08,2197,ファンキージャグラー２ＫＴ,900,5584,105.4%
マルハン蒲田駅東店,2025/05/08,2060,Lスマスロ北斗の拳,900,6932,104.3%
マルハン蒲田駅東店,2025/05/08,2316,キングハナハナ-30,900,4329,106.9%
マルハン蒲田駅東店,2025/05/08,2024,Lパチスロからくりサーカス,900,2285,113.1%
マルハン蒲田駅東店,2025/05/08,2246,SアイムジャグラーＥＸ,800,3059,108.7%
マルハン蒲田駅東店,2025/05/08,2058,スマスロ スーパーブラックジャック,800,3279,108.1%
マルハン蒲田駅東店,2025/05/08,2253,SアイムジャグラーＥＸ,800,5225,105.1%
マルハン蒲田駅東店,2025/05/08,2072,Lスマスロ北斗の拳,800,2114,112.6%
マルハン蒲田駅東店,2025/05/08,2243,ウルトラミラクルジャグラー,800,5665,104.7%
マルハン蒲田駅東店,2025/05/08,2232,ハッピージャグラーＶＩＩＩ,800,7482,103.6%
マルハン蒲田駅東店,2025/05/08,2331,Lパチスロ 機動戦士ガンダムSEED,800,6729,104%
マルハン蒲田駅東店,2025/05/08,2108,Lスマスロ北斗の拳,800,4450,106%
マルハン蒲田駅東店,2025/05/08,2305,ゴーゴージャグラー３,800,7966,103.3%
マルハン蒲田駅東店,2025/05/08,2184,L戦国乙女４　戦乱に閃く炯眼の軍師,800,1076,124.8%
マルハン蒲田駅東店,2025/05/08,2356,押忍！番長ＺＥＲＯ,700,7081,103.3%
マルハン蒲田駅東店,2025/05/08,2201,ファンキージャグラー２ＫＴ,700,3278,107.1%
マルハン蒲田駅東店,2025/05/08,2278,SアイムジャグラーＥＸ,700,5170,104.5%
マルハン蒲田駅東店,2025/05/08,2290,SアイムジャグラーＥＸ,700,5489,104.3%
マルハン蒲田駅東店,2025/05/08,2139,マイジャグラーV,600,4359,104.6%
マルハン蒲田駅東店,2025/05/08,2129,マイジャグラーV,500,6859,102.4%
マルハン蒲田駅東店,2025/05/08,2282,SアイムジャグラーＥＸ,500,5709,102.9%
マルハン蒲田駅東店,2025/05/08,2353,パチスロハイパーラッシュ,500,3909,104.3%
